timestamp,well_id,oil_rate_bbl_d,gas_rate_mmscf_d,tubing_pressure_psi,temperature_c,vibration_mm_s,water_cut_pct,choke_size_64ths,status
2026-09-03 02:00:00,Well-12A,891.5,0.88,1871.7,77.6,2.126,18.06,40,Online
2026-09-03 03:00:00,Well-12A,888.7,0.818,1871.1,79.9,2.06,17.89,40,Online
2026-09-03 04:00:00,Well-12A,885.6,0.92,1876.0,79.4,2.155,18.07,24,Online
2026-09-03 05:00:00,Well-12A,887.6,0.816,1869.5,79.2,2.067,18.03,32,Online
2026-09-03 06:00:00,Well-12A,890.9,0.82,1867.0,79.8,2.332,18.0,28,Online
2026-09-03 07:00:00,Well-12A,890.7,0.977,1867.0,80.4,2.269,18.16,36,Online
2026-09-03 08:00:00,Well-12A,893.1,0.732,1867.1,79.9,2.159,18.23,32,Online
2026-09-03 09:00:00,Well-12A,894.0,1.038,1865.2,77.4,2.392,18.29,24,Online
2026-09-03 10:00:00,Well-12A,892.3,1.018,1867.6,77.9,2.144,18.55,36,Online
2026-09-03 11:00:00,Well-12A,893.1,0.953,1863.2,78.5,2.38,18.47,24,Online
2026-09-03 12:00:00,Well-12A,896.9,0.93,1862.6,79.0,2.237,18.58,28,Online
2026-09-03 13:00:00,Well-12A,896.8,1.038,1863.0,79.4,2.127,18.59,36,Online
2026-09-03 14:00:00,Well-12A,900.6,0.787,1864.9,78.4,2.127,18.62,28,Online
2026-09-03 15:00:00,Well-12A,894.0,0.743,1867.7,79.2,2.121,18.8,40,Online
2026-09-03 16:00:00,Well-12A,896.0,0.803,1863.1,78.4,2.507,18.86,40,Online
2026-09-03 17:00:00,Well-12A,896.2,1.002,1856.9,78.5,2.134,18.93,36,Online
2026-09-03 18:00:00,Well-12A,895.4,0.729,1861.9,77.8,2.145,19.06,36,Online
2026-09-03 19:00:00,Well-12A,895.5,0.925,1863.1,78.2,2.277,19.01,24,Online
2026-09-03 20:00:00,Well-12A,890.5,1.067,1860.0,77.9,2.103,18.91,32,Online
2026-09-03 21:00:00,Well-12A,889.9,1.017,1866.2,78.2,2.107,18.79,40,Online
2026-09-03 22:00:00,Well-12A,890.7,0.898,1866.5,79.9,2.093,18.55,40,Online
2026-09-03 23:00:00,Well-12A,894.4,0.738,1871.2,78.2,2.066,18.8,36,Online
2026-09-04 00:00:00,Well-12A,893.0,1.011,1871.3,81.2,2.058,18.66,32,Online
2026-09-04 01:00:00,Well-12A,890.9,0.926,1879.5,79.4,2.21,18.64,28,Online
2026-09-04 02:00:00,Well-12A,889.6,0.753,1886.4,79.2,2.061,18.6,32,Online
2026-09-04 03:00:00,Well-12A,891.9,0.747,1885.3,78.3,2.211,18.64,36,Online
2026-09-04 04:00:00,Well-12A,892.6,1.039,1889.1,79.6,2.068,18.74,40,Online
2026-09-04 05:00:00,Well-12A,891.2,0.952,1891.6,78.5,2.067,18.84,40,Online
2026-09-04 06:00:00,Well-12A,892.5,1.01,1897.0,79.1,2.49,18.77,28,Online
2026-09-04 07:00:00,Well-12A,892.6,1.028,1893.1,81.2,2.252,18.75,24,Online
2026-09-04 08:00:00,Well-12A,895.0,0.921,1895.7,78.9,2.126,18.79,24,Online
2026-09-04 09:00:00,Well-12A,893.2,0.899,1899.9,80.0,2.27,18.76,40,Online
2026-09-04 10:00:00,Well-12A,892.3,0.867,1892.7,78.4,2.687,18.95,24,Online
2026-09-04 11:00:00,Well-12A,891.3,0.826,1887.9,79.0,2.509,19.01,36,Online
2026-09-04 12:00:00,Well-12A,887.5,0.864,1879.7,80.5,2.081,19.1,36,Restricted
2026-09-04 13:00:00,Well-12A,888.2,0.986,1878.5,78.5,2.294,19.18,36,Online
2026-09-04 14:00:00,Well-12A,888.8,0.925,1881.3,80.5,2.279,19.32,24,Online
2026-09-04 15:00:00,Well-12A,888.8,1.028,1887.2,79.6,2.185,19.34,36,Online
2026-09-04 16:00:00,Well-12A,888.1,0.868,1887.4,78.5,2.282,19.18,40,Online
2026-09-04 17:00:00,Well-12A,884.5,0.922,1893.8,79.5,2.187,19.23,28,Online
2026-09-04 18:00:00,Well-12A,883.4,0.93,1888.2,79.8,2.471,19.15,40,Online
2026-09-04 19:00:00,Well-12A,882.5,0.915,1881.3,79.5,2.092,19.09,40,Online
2026-09-04 20:00:00,Well-12A,880.4,0.952,1881.0,77.7,2.098,19.16,28,Online
2026-09-04 21:00:00,Well-12A,880.0,0.788,1882.5,78.4,2.241,19.31,36,Online
2026-09-04 22:00:00,Well-12A,880.9,0.885,1882.2,78.8,2.159,19.31,32,Online
2026-09-04 23:00:00,Well-12A,885.6,0.745,1873.9,78.9,2.083,19.35,24,Online
2026-09-05 00:00:00,Well-12A,886.0,0.845,1873.4,79.5,2.13,19.55,36,Online
2026-09-05 01:00:00,Well-12A,886.5,0.882,1868.1,79.2,2.579,19.58,32,Online
2026-09-05 02:00:00,Well-12A,886.3,0.94,1870.7,77.9,2.063,19.89,28,Online
2026-09-05 03:00:00,Well-12A,881.4,1.04,1872.1,79.3,2.094,19.96,24,Online
2026-09-05 04:00:00,Well-12A,881.3,0.917,1868.2,79.5,2.281,19.75,36,Online
2026-09-05 05:00:00,Well-12A,881.4,0.967,1866.1,79.5,2.293,19.84,24,Online
2026-09-05 06:00:00,Well-12A,887.5,0.89,1861.8,79.9,2.311,19.89,28,Online
2026-09-05 07:00:00,Well-12A,887.0,0.935,1861.4,79.7,2.191,20.04,40,Online
2026-09-05 08:00:00,Well-12A,887.7,0.735,1865.2,79.4,2.301,20.12,24,Online
2026-09-05 09:00:00,Well-12A,887.5,0.8,1861.1,78.9,2.409,20.11,40,Online
2026-09-05 10:00:00,Well-12A,884.5,0.836,1863.1,77.6,2.302,19.96,28,Online
2026-09-05 11:00:00,Well-12A,887.3,0.878,1860.8,79.4,2.117,19.93,24,Online
2026-09-05 12:00:00,Well-12A,889.1,0.728,1857.6,79.2,2.216,19.83,32,Online
2026-09-05 13:00:00,Well-12A,891.1,0.763,1857.1,79.2,2.064,19.76,40,Restricted
2026-09-05 14:00:00,Well-12A,888.7,0.809,1852.8,77.9,2.122,19.83,32,Online
2026-09-05 15:00:00,Well-12A,892.2,1.06,1850.5,78.1,2.121,20.03,32,Online
2026-09-05 16:00:00,Well-12A,888.6,0.829,1845.7,79.9,2.143,20.08,24,Online
2026-09-05 17:00:00,Well-12A,890.0,0.884,1853.4,79.0,2.405,19.94,40,Online
2026-09-05 18:00:00,Well-12A,895.4,0.787,1853.5,79.6,2.15,19.99,36,Online
2026-09-05 19:00:00,Well-12A,892.9,0.932,1850.6,79.0,2.104,20.13,40,Online
2026-09-05 20:00:00,Well-12A,891.4,0.813,1851.4,79.0,2.262,20.06,28,Online
2026-09-05 21:00:00,Well-12A,891.6,0.787,1850.8,79.8,2.312,20.04,40,Online
2026-09-05 22:00:00,Well-12A,890.3,0.896,1849.8,78.6,2.32,20.05,36,Online
2026-09-05 23:00:00,Well-12A,886.4,0.711,1852.2,79.1,2.181,19.95,28,Restricted
2026-09-06 00:00:00,Well-12A,886.5,0.712,1855.1,78.6,2.204,20.03,40,Online
2026-09-06 01:00:00,Well-12A,883.8,0.784,1852.9,78.6,2.115,20.01,36,Online
2026-09-06 02:00:00,Well-12A,884.9,0.721,1850.5,78.7,2.353,20.07,36,Online
2026-09-06 03:00:00,Well-12A,882.5,0.744,1849.4,79.2,2.083,19.96,24,Online
2026-09-06 04:00:00,Well-12A,886.3,0.829,1840.1,78.6,2.078,19.91,36,Online
2026-09-06 05:00:00,Well-12A,884.3,0.991,1833.9,80.1,2.088,19.99,24,Online
2026-09-06 06:00:00,Well-12A,883.5,0.909,1839.3,78.2,2.053,19.95,28,Online
2026-09-06 07:00:00,Well-12A,885.4,0.89,1845.8,78.8,2.291,20.16,32,Online
2026-09-06 08:00:00,Well-12A,882.3,0.809,1844.7,78.6,2.367,20.11,40,Online
2026-09-06 09:00:00,Well-12A,882.8,1.035,1846.9,80.2,2.401,20.13,36,Online
2026-09-06 10:00:00,Well-12A,886.0,0.85,1848.1,79.2,2.236,20.25,36,Online
2026-09-06 11:00:00,Well-12A,881.9,0.736,1860.3,79.9,2.268,20.08,24,Online
2026-09-06 12:00:00,Well-12A,882.3,0.924,1864.7,77.7,2.524,19.86,36,Online
2026-09-06 13:00:00,Well-12A,882.9,0.747,1864.1,79.2,2.191,19.68,36,Online
2026-09-06 14:00:00,Well-12A,884.8,0.83,1860.2,79.8,2.341,19.83,24,Online
2026-09-06 15:00:00,Well-12A,881.7,0.884,1853.6,79.1,2.411,19.77,28,Online
2026-09-06 16:00:00,Well-12A,878.3,1.01,1854.4,79.9,2.272,20.07,40,Online
2026-09-06 17:00:00,Well-12A,879.5,0.877,1851.3,78.6,2.201,20.01,24,Online
2026-09-06 18:00:00,Well-12A,880.2,0.951,1845.5,80.2,2.546,20.03,24,Online
2026-09-06 19:00:00,Well-12A,880.8,1.054,1842.8,81.0,2.266,20.21,32,Online
2026-09-06 20:00:00,Well-12A,881.6,0.752,1838.4,78.7,2.121,20.45,40,Online
2026-09-06 21:00:00,Well-12A,879.8,0.801,1845.0,78.6,2.6,20.7,40,Online
2026-09-06 22:00:00,Well-12A,880.4,0.843,1848.5,80.2,2.554,20.85,28,Online
2026-09-06 23:00:00,Well-12A,881.0,0.853,1848.4,80.3,2.356,20.97,40,Online
2026-09-07 00:00:00,Well-12A,879.2,0.848,1854.2,78.6,2.412,21.04,32,Online
2026-09-07 01:00:00,Well-12A,883.8,1.028,1854.4,78.6,2.275,21.13,40,Online
2026-09-07 02:00:00,Well-12A,884.9,0.961,1850.9,78.8,2.587,21.07,40,Online
2026-09-07 03:00:00,Well-12A,881.9,0.92,1856.9,77.9,2.355,20.97,24,Online
2026-09-07 04:00:00,Well-12A,883.5,0.816,1858.9,78.2,2.174,20.97,32,Online
2026-09-07 05:00:00,Well-12A,881.0,0.995,1854.7,78.1,2.181,20.95,32,Online
2026-09-07 06:00:00,Well-12A,882.9,1.044,1853.9,78.3,2.238,20.89,36,Online
2026-09-07 07:00:00,Well-12A,885.7,1.0,1850.3,79.0,2.217,20.98,36,Online
2026-09-07 08:00:00,Well-12A,883.6,0.707,1844.6,79.2,2.112,21.09,32,Restricted
2026-09-07 09:00:00,Well-12A,886.0,0.934,1848.3,80.3,2.073,21.1,24,Online
2026-09-07 10:00:00,Well-12A,886.9,0.728,1855.8,78.2,2.064,21.28,40,Online
2026-09-07 11:00:00,Well-12A,888.9,0.803,1850.1,79.8,2.216,21.14,32,Online
2026-09-07 12:00:00,Well-12A,893.6,0.736,1852.3,78.8,2.112,21.12,28,Restricted
2026-09-07 13:00:00,Well-12A,892.9,0.93,1849.6,79.0,2.422,21.03,36,Online
2026-09-07 14:00:00,Well-12A,891.0,0.957,1847.6,79.6,2.072,20.81,40,Online
2026-09-07 15:00:00,Well-12A,888.7,0.752,1845.1,78.0,2.267,20.8,28,Online
2026-09-07 16:00:00,Well-12A,886.6,0.845,1841.5,79.3,2.293,20.79,32,Online
2026-09-07 17:00:00,Well-12A,886.4,0.871,1841.7,79.1,2.09,20.97,28,Online
2026-09-07 18:00:00,Well-12A,887.1,0.841,1838.2,79.4,2.356,21.04,40,Online
2026-09-07 19:00:00,Well-12A,887.8,0.753,1839.2,79.2,2.252,20.92,36,Online
2026-09-07 20:00:00,Well-12A,889.8,0.861,1838.9,81.1,2.396,21.14,24,Online
2026-09-07 21:00:00,Well-12A,889.8,0.979,1837.9,78.5,2.268,21.29,24,Online
2026-09-07 22:00:00,Well-12A,893.3,0.74,1834.2,78.5,2.257,21.36,28,Online
2026-09-07 23:00:00,Well-12A,892.6,0.743,1831.8,78.5,2.266,21.33,36,Online
2026-09-08 00:00:00,Well-12A,899.3,0.847,1834.7,78.5,2.099,21.22,28,Online
2026-09-08 01:00:00,Well-12A,900.9,1.06,1836.6,78.5,2.171,21.17,36,Online
2026-09-08 02:00:00,Well-12A,898.7,0.959,1832.6,80.0,2.263,21.3,28,Online
2026-09-08 03:00:00,Well-12A,895.9,0.96,1832.9,80.2,2.073,21.53,40,Online
2026-09-08 04:00:00,Well-12A,897.1,0.848,1835.9,78.5,2.343,21.71,36,Online
2026-09-08 05:00:00,Well-12A,896.4,0.93,1829.1,78.3,2.182,21.66,32,Online
2026-09-08 06:00:00,Well-12A,898.2,0.722,1831.2,79.4,2.12,21.52,32,Online
2026-09-08 07:00:00,Well-12A,899.3,0.948,1828.4,78.5,2.4,21.54,32,Online
2026-09-08 08:00:00,Well-12A,899.0,1.048,1830.6,79.5,2.147,21.33,40,Online
2026-09-08 09:00:00,Well-12A,896.9,0.937,1827.5,79.2,2.054,21.36,24,Online
2026-09-08 10:00:00,Well-12A,893.0,1.027,1820.2,77.7,2.172,21.35,32,Online
2026-09-08 11:00:00,Well-12A,891.9,0.972,1813.6,80.3,2.099,21.29,24,Online
2026-09-08 12:00:00,Well-12A,893.9,0.758,1813.7,80.5,2.35,21.1,40,Online
2026-09-08 13:00:00,Well-12A,894.4,1.038,1814.6,78.5,2.078,21.16,32,Online
2026-09-08 14:00:00,Well-12A,891.2,0.737,1810.9,78.7,2.144,21.1,40,Online
2026-09-08 15:00:00,Well-12A,891.6,0.904,1813.4,79.2,2.077,20.96,32,Online
2026-09-08 16:00:00,Well-12A,892.5,0.765,1806.6,79.3,2.17,20.61,32,Online
2026-09-08 17:00:00,Well-12A,890.2,0.716,1806.3,79.6,2.061,20.61,24,Online
2026-09-08 18:00:00,Well-12A,890.6,0.863,1801.4,80.7,2.059,20.82,36,Online
2026-09-08 19:00:00,Well-12A,890.7,0.818,1798.7,78.8,2.204,21.02,40,Online
2026-09-08 20:00:00,Well-12A,887.7,0.883,1798.8,78.3,2.196,20.97,36,Online
2026-09-08 21:00:00,Well-12A,888.6,0.916,1795.2,77.8,2.359,20.89,24,Online
2026-09-08 22:00:00,Well-12A,889.9,0.727,1793.6,78.4,2.435,20.95,40,Restricted
2026-09-08 23:00:00,Well-12A,892.6,0.758,1797.5,79.0,2.324,20.83,28,Online
2026-09-09 00:00:00,Well-12A,895.1,0.916,1795.1,80.5,2.202,20.87,24,Online
2026-09-09 01:00:00,Well-12A,891.6,0.836,1798.4,78.6,2.208,20.96,28,Online
2026-09-09 02:00:00,Well-12A,889.2,0.971,1793.8,79.2,2.247,21.11,28,Online
2026-09-09 03:00:00,Well-12A,890.5,0.945,1795.8,79.0,2.115,21.09,24,Online
2026-09-09 04:00:00,Well-12A,891.7,1.015,1801.5,80.0,2.325,21.07,40,Online
2026-09-09 05:00:00,Well-12A,892.9,0.962,1791.5,81.1,2.198,20.96,32,Online
2026-09-09 06:00:00,Well-12A,902.5,0.877,1788.2,78.5,2.111,20.86,36,Online
2026-09-09 07:00:00,Well-12A,903.8,0.966,1790.5,78.6,2.234,20.84,32,Online
2026-09-09 08:00:00,Well-12A,906.6,0.825,1789.6,79.9,2.522,20.88,28,Online
2026-09-09 09:00:00,Well-12A,909.0,0.839,1790.9,79.6,2.311,20.99,40,Online
2026-09-09 10:00:00,Well-12A,910.5,1.016,1788.4,80.6,2.118,20.89,28,Online
2026-09-09 11:00:00,Well-12A,909.7,0.89,1788.7,79.5,2.189,21.07,28,Online
2026-09-09 12:00:00,Well-12A,911.5,1.02,1788.0,78.7,2.141,21.04,40,Online
2026-09-09 13:00:00,Well-12A,909.5,1.027,1792.6,79.5,2.091,21.04,32,Online
2026-09-09 14:00:00,Well-12A,908.9,1.039,1793.5,79.9,2.079,20.95,36,Online
2026-09-09 15:00:00,Well-12A,907.6,1.059,1794.8,79.7,2.06,20.66,32,Online
2026-09-09 16:00:00,Well-12A,907.7,0.883,1793.0,79.4,2.082,20.76,32,Online
2026-09-09 17:00:00,Well-12A,913.5,0.847,1791.0,79.9,2.262,20.85,32,Online
2026-09-09 18:00:00,Well-12A,908.7,0.939,1789.2,80.0,2.536,20.82,32,Online
2026-09-09 19:00:00,Well-12A,910.4,0.863,1790.6,80.2,2.173,20.83,40,Online
2026-09-09 20:00:00,Well-12A,906.3,0.943,1788.9,79.6,2.351,20.89,40,Online
2026-09-09 21:00:00,Well-12A,905.1,0.979,1789.9,78.9,2.069,20.7,28,Online
2026-09-09 22:00:00,Well-12A,907.7,0.976,1798.2,79.1,2.618,20.64,28,Online
2026-09-09 23:00:00,Well-12A,907.8,0.862,1801.6,80.0,2.227,20.73,40,Online
2026-09-10 00:00:00,Well-12A,905.1,0.784,1800.2,78.3,2.411,20.58,40,Online
2026-09-10 01:00:00,Well-12A,903.2,0.878,1804.9,79.3,2.419,20.62,40,Online
2026-09-10 02:00:00,Well-12A,904.9,0.776,1803.2,78.7,2.172,20.46,24,Online
2026-09-10 03:00:00,Well-12A,903.0,1.044,1794.9,79.0,2.175,20.51,36,Online
2026-09-10 04:00:00,Well-12A,903.5,0.848,1790.8,80.1,2.408,20.51,40,Online
2026-09-10 05:00:00,Well-12A,903.5,0.779,1783.2,79.2,2.133,20.31,40,Online
2026-09-10 06:00:00,Well-12A,901.8,0.731,1781.7,79.0,2.095,20.45,32,Online
2026-09-10 07:00:00,Well-12A,907.1,0.96,1781.7,77.8,2.178,20.36,36,Online
2026-09-10 08:00:00,Well-12A,908.6,0.958,1788.3,79.6,2.273,20.27,32,Online
2026-09-10 09:00:00,Well-12A,903.5,0.846,1789.5,79.5,2.193,20.29,24,Online
2026-09-10 10:00:00,Well-12A,903.9,0.749,1788.6,80.8,2.319,20.43,28,Online
2026-09-10 11:00:00,Well-12A,902.2,0.87,1791.8,78.7,2.057,20.31,40,Online
2026-09-10 12:00:00,Well-12A,904.3,0.836,1782.9,79.2,2.219,20.31,32,Online
2026-09-10 13:00:00,Well-12A,902.2,0.966,1783.7,79.2,2.101,20.37,24,Online
2026-09-10 14:00:00,Well-12A,901.9,0.94,1786.7,80.3,2.392,20.45,32,Restricted
2026-09-10 15:00:00,Well-12A,903.1,0.854,1780.7,78.9,2.123,20.47,36,Restricted
2026-09-10 16:00:00,Well-12A,905.2,0.803,1785.2,79.2,2.233,20.43,40,Online
2026-09-10 17:00:00,Well-12A,902.1,1.078,1786.5,79.5,2.489,20.33,24,Online
2026-09-10 18:00:00,Well-12A,901.3,0.885,1784.7,79.2,2.132,20.34,28,Online
2026-09-10 19:00:00,Well-12A,900.0,0.968,1787.2,78.6,2.32,20.21,32,Online
2026-09-10 20:00:00,Well-12A,898.3,0.769,1796.1,79.2,2.316,19.86,24,Online
2026-09-10 21:00:00,Well-12A,902.7,0.897,1796.8,79.9,2.418,19.91,28,Online
2026-09-10 22:00:00,Well-12A,903.6,0.733,1797.7,78.1,2.142,20.02,24,Online
2026-09-10 23:00:00,Well-12A,900.4,0.902,1795.8,79.1,2.205,19.74,36,Online
2026-09-11 00:00:00,Well-12A,902.6,1.07,1792.3,78.4,2.062,19.61,32,Online
2026-09-11 01:00:00,Well-12A,907.9,0.866,1795.5,80.0,2.173,19.69,24,Online
2026-09-11 02:00:00,Well-12A,910.4,0.743,1792.0,77.7,2.067,19.94,24,Online
2026-09-11 03:00:00,Well-12A,906.6,0.736,1792.2,78.5,2.169,19.94,24,Online
2026-09-11 04:00:00,Well-12A,905.3,0.865,1790.2,79.3,2.253,19.85,28,Online
2026-09-11 05:00:00,Well-12A,908.4,0.785,1792.0,80.3,2.087,19.83,32,Online
2026-09-11 06:00:00,Well-12A,906.6,0.734,1793.3,78.9,2.361,19.99,28,Online
2026-09-11 07:00:00,Well-12A,907.6,1.001,1797.3,78.5,2.074,19.92,24,Online
2026-09-11 08:00:00,Well-12A,909.5,0.894,1795.2,80.6,2.249,19.82,32,Online
2026-09-11 09:00:00,Well-12A,907.1,0.831,1794.0,77.8,2.212,19.76,24,Online
2026-09-11 10:00:00,Well-12A,906.9,1.052,1790.0,77.1,2.322,19.65,36,Restricted
2026-09-11 11:00:00,Well-12A,898.7,0.761,1788.1,79.4,2.29,19.66,32,Online
2026-09-11 12:00:00,Well-12A,896.1,1.06,1789.6,78.6,2.184,19.86,24,Online
2026-09-11 13:00:00,Well-12A,895.4,0.829,1792.5,78.1,2.29,19.9,40,Online
2026-09-11 14:00:00,Well-12A,892.2,1.031,1788.7,79.6,2.12,19.87,24,Online
2026-09-11 15:00:00,Well-12A,896.3,0.933,1792.1,79.2,2.317,19.83,28,Online
2026-09-11 16:00:00,Well-12A,892.6,1.009,1797.4,78.5,2.081,19.64,36,Online
2026-09-11 17:00:00,Well-12A,891.5,1.064,1799.0,77.9,2.56,19.75,32,Online
2026-09-11 18:00:00,Well-12A,891.7,0.816,1806.4,79.7,2.137,19.74,32,Online
2026-09-11 19:00:00,Well-12A,895.3,1.06,1803.2,79.6,2.092,19.72,28,Online
2026-09-11 20:00:00,Well-12A,891.6,0.852,1798.2,78.9,2.118,20.1,28,Online
2026-09-11 21:00:00,Well-12A,894.5,0.854,1791.0,80.6,2.079,20.14,36,Online
2026-09-11 22:00:00,Well-12A,894.4,0.837,1796.9,78.1,2.084,20.05,40,Online
2026-09-11 23:00:00,Well-12A,891.9,0.907,1799.4,77.7,2.206,20.0,24,Online
2026-09-12 00:00:00,Well-12A,893.0,0.769,1799.1,78.4,2.26,20.13,32,Online
2026-09-12 01:00:00,Well-12A,893.5,0.913,1800.1,79.0,2.223,20.15,40,Online
2026-09-12 02:00:00,Well-12A,891.9,0.907,1795.5,79.2,2.343,19.98,40,Online
2026-09-12 03:00:00,Well-12A,892.0,0.985,1805.2,78.8,2.454,20.09,32,Online
2026-09-12 04:00:00,Well-12A,891.0,1.01,1805.6,79.3,2.162,20.01,32,Online
2026-09-12 05:00:00,Well-12A,891.2,0.87,1806.0,77.9,2.293,20.23,24,Online
2026-09-12 06:00:00,Well-12A,892.8,0.822,1808.8,80.2,2.524,20.36,36,Online
